date,Brazil
10/27/20,5439641.0
10/28/20,5468270.0
10/29/20,5494376.0
10/30/20,5516658.0
10/31/20,5535605.0
11/1/20,5545705.0
11/2/20,5554206.0
11/3/20,5566049.0
11/4/20,5590025.0
11/5/20,5590025.0
11/6/20,5631181.0
11/7/20,5653561.0
11/8/20,5664115.0
11/9/20,5675032.0
11/10/20,5699005.0
11/11/20,5747660.0
11/12/20,5781582.0
11/13/20,5810652.0
11/14/20,5848959.0
11/15/20,5863093.0
11/16/20,5876464.0
11/17/20,5911758.0
11/18/20,5945849.0
11/19/20,5981767.0
11/20/20,6020164.0
11/21/20,6052786.0
11/22/20,6071401.0
11/23/20,6087608.0
11/24/20,6118708.0
11/25/20,6166606.0
11/26/20,6204220.0
11/27/20,6238350.0
11/28/20,6290272.0
11/29/20,6314740.0
11/30/20,6335878.0
12/1/20,6386787.0
12/2/20,6436650.0
12/3/20,6487084.0
12/4/20,6533968.0
12/5/20,6577177.0
12/6/20,6603540.0
12/7/20,6623911.0
12/8/20,6674999.0
12/9/20,6728452.0
12/10/20,6781799.0
12/11/20,6836227.0
12/12/20,6880127.0
12/13/20,6901952.0
12/14/20,6927145.0
12/15/20,6970034.0
12/16/20,7040608.0
12/17/20,7110434.0
12/18/20,7162978.0
12/19/20,7213155.0
12/20/20,7238600.0
12/21/20,7263619.0
12/22/20,7318821.0
12/23/20,7365517.0
12/24/20,7423945.0
12/25/20,7448560.0
12/26/20,7465806.0
12/27/20,7484285.0
12/28/20,7504833.0
12/29/20,7563551.0
12/30/20,7619200.0
12/31/20,7675973.0
1/1/21,7700578.0
1/2/21,7716405.0
1/3/21,7733746.0
1/4/21,7753752.0
1/5/21,7810400.0
1/6/21,7873830.0
1/7/21,7961673.0
1/8/21,8013708.0
1/9/21,8075998.0
1/10/21,8105790.0
1/11/21,8131612.0
1/12/21,8195637.0
1/13/21,8256536.0
1/14/21,8324294.0
1/15/21,8393492.0
1/16/21,8455059.0
1/17/21,8488099.0
1/18/21,8511770.0
1/19/21,8573864.0
1/20/21,8638249.0
1/21/21,8697368.0
1/22/21,8753920.0
1/23/21,8816254.0
1/24/21,8844577.0
1/25/21,8871393.0
1/26/21,8933356.0
1/27/21,8996876.0
1/28/21,9058687.0
1/29/21,9118513.0
1/30/21,9176975.0
1/31/21,9204731.0
2/1/21,9229322.0
