date,Brazil
7/31/20,92728
8/1/20,93669
8/2/20,94193
8/3/20,94795
8/4/20,96153
8/5/20,97519
8/6/20,98745
8/7/20,99830
8/8/20,100657
8/9/20,101226
8/10/20,102015
8/11/20,103209
8/12/20,104393
8/13/20,105635
8/14/20,106642
8/15/20,107365
8/16/20,107952
8/17/20,108748
8/18/20,110100
8/19/20,111263
8/20/20,112500
8/21/20,113551
8/22/20,114379
8/23/20,114834
8/24/20,115557
8/25/20,116760
8/26/20,117839
8/27/20,118824
8/28/20,119673
8/29/20,120570
8/30/20,120971
8/31/20,121618
9/1/20,122768
9/2/20,123972
9/3/20,124839
9/4/20,125688
9/5/20,126292
9/6/20,126750
9/7/20,127070
9/8/20,127595
9/9/20,128752
9/10/20,129726
9/11/20,130574
9/12/20,131341
9/13/20,131746
9/14/20,132204
9/15/20,133286
9/16/20,134248
9/17/20,135117
9/18/20,135945
9/19/20,136626
9/20/20,136977
9/21/20,137443
9/22/20,138237
9/23/20,139169
9/24/20,139964
9/25/20,140786
9/26/20,141508
9/27/20,141847
9/28/20,142238
9/29/20,143096
9/30/20,144078
10/1/20,144851
10/2/20,145505
10/3/20,146093
10/4/20,146451
10/5/20,146844
10/6/20,147654
10/7/20,148379
10/8/20,149114
10/9/20,149768
10/10/20,150302
10/11/20,150580
10/12/20,150774
10/13/20,151152
10/14/20,151884
10/15/20,152698
10/16/20,153341
10/17/20,153756
10/18/20,153991
10/19/20,154317
10/20/20,154965
10/21/20,155536
10/22/20,156041
10/23/20,156604
10/24/20,156991
10/25/20,157224
10/26/20,157526
10/27/20,158052
10/28/20,158556
10/29/20,159107
10/30/20,159680
10/31/20,159972
11/1/20,160175
11/2/20,160340
11/3/20,160628
11/4/20,161246
11/5/20,161849
11/6/20,162120
11/7/20,162348
11/8/20,162538
11/9/20,162724
11/10/20,162922
11/11/20,163496
11/12/20,164429
11/13/20,165005
11/14/20,165739
11/15/20,165879
11/16/20,166136
11/17/20,166814
11/18/20,167568
11/19/20,168218
11/20/20,168731
11/21/20,169088
11/22/20,169266
11/23/20,169621
11/24/20,170248
11/25/20,170871
11/26/20,171581
11/27/20,172140
11/28/20,172684
11/29/20,172917
11/30/20,173268
12/1/20,173953
12/2/20,174632
12/3/20,175393
12/4/20,176071
12/5/20,176718
12/6/20,177058
12/7/20,177483
12/8/20,178281
12/9/20,179134
12/10/20,179903
12/11/20,180564
12/12/20,181241
12/13/20,181536
12/14/20,182049
12/15/20,182983
