date,US
1/3/21,20829857.0
1/4/21,21011506.0
1/5/21,21242761.0
1/6/21,21499621.0
1/7/21,21788233.0
1/8/21,22091695.0
1/9/21,22351229.0
1/10/21,22564605.0
1/11/21,22775442.0
1/12/21,22994343.0
1/13/21,23224184.0
1/14/21,23462228.0
1/15/21,23709253.0
1/16/21,23917886.0
1/17/21,24094475.0
1/18/21,24235558.0
1/19/21,24399844.0
1/20/21,24585238.0
1/21/21,24777565.0
1/22/21,24967093.0
1/23/21,25141956.0
1/24/21,25279790.0
1/25/21,25421908.0
1/26/21,25566690.0
1/27/21,25721825.0
1/28/21,25889261.0
1/29/21,26055108.0
1/30/21,26200792.0
1/31/21,26316221.0
2/1/21,26445589.0
2/2/21,26559461.0
2/3/21,26682573.0
2/4/21,26806501.0
2/5/21,26938161.0
2/6/21,27049114.0
2/7/21,27140997.0
2/8/21,27226006.0
2/9/21,27320601.0
2/10/21,27416433.0
2/11/21,27522736.0
2/12/21,27622766.0
2/13/21,27711620.0
2/14/21,27777969.0
2/15/21,27832612.0
2/16/21,27891215.0
2/17/21,27961284.0
2/18/21,28032640.0
2/19/21,28110825.0
2/20/21,28184232.0
2/21/21,28242128.0
2/22/21,28296967.0
2/23/21,28368981.0
2/24/21,28443992.0
2/25/21,28522050.0
2/26/21,28600784.0
2/27/21,28666849.0
2/28/21,28718716.0
3/1/21,28773204.0
3/2/21,28830270.0
3/3/21,28897419.0
3/4/21,28965951.0
3/5/21,29032816.0
3/6/21,29092111.0
3/7/21,29134177.0
3/8/21,29178490.0
3/9/21,29234296.0
3/10/21,29292529.0
3/11/21,29355425.0
3/12/21,29417498.0
3/13/21,29471090.0
3/14/21,29509942.0
3/15/21,29564710.0
3/16/21,29619091.0
3/17/21,29678578.0
3/18/21,29739103.0
3/19/21,29801168.0
3/20/21,29858190.0
3/21/21,29893168.0
3/22/21,29942649.0
3/23/21,29995948.0
3/24/21,30083069.0
3/25/21,30151045.0
3/26/21,30228590.0
3/27/21,30290813.0
3/28/21,30337167.0
3/29/21,30404464.0
3/30/21,30465901.0
3/31/21,30532873.0
4/1/21,30612061.0
4/2/21,30683910.0
4/3/21,30748157.0
4/4/21,30784511.0
4/5/21,30857959.0
4/6/21,30919103.0
4/7/21,30994091.0
4/8/21,31074343.0
4/9/21,31158680.0
4/10/21,31227974.0
4/11/21,31274417.0
4/12/21,31341375.0
4/13/21,31420519.0
4/14/21,31495835.0
4/15/21,31569745.0
4/16/21,31650122.0
4/17/21,31704283.0
4/18/21,31747166.0
4/19/21,31813340.0
4/20/21,31874260.0
4/21/21,31938084.0
4/22/21,32005074.0
4/23/21,32067454.0
4/24/21,32121647.0
4/25/21,32155621.0
4/26/21,32201281.0
4/27/21,32252014.0
4/28/21,32307107.0
4/29/21,32366021.0
4/30/21,32424181.0
5/1/21,32470841.0
5/2/21,32500903.0
5/3/21,32549674.0
5/4/21,32590474.0
5/5/21,32636178.0
5/6/21,32683133.0
5/7/21,32731240.0
5/8/21,32765759.0
5/9/21,32787859.0
5/10/21,32823011.0
5/11/21,32857072.0
5/12/21,32893265.0
