,Brazil
11/26/20,6204220
11/27/20,6238350
11/28/20,6290272
11/29/20,6314740
11/30/20,6335878
12/1/20,6386787
12/2/20,6436650
12/3/20,6487084
12/4/20,6533968
12/5/20,6577177
12/6/20,6603540
12/7/20,6623911
12/8/20,6674999
12/9/20,6728452
12/10/20,6781799
12/11/20,6836227
12/12/20,6880127
12/13/20,6901952
12/14/20,6927145
12/15/20,6970034
12/16/20,7040608
12/17/20,7110434
12/18/20,7162978
12/19/20,7213155
12/20/20,7238600
12/21/20,7263619
12/22/20,7318821
12/23/20,7365517
12/24/20,7423945
12/25/20,7448560
12/26/20,7465806
12/27/20,7484285
12/28/20,7504833
12/29/20,7563551
12/30/20,7619200
12/31/20,7675973
1/1/21,7700578
1/2/21,7716405
1/3/21,7733746
1/4/21,7753752
1/5/21,7810400
1/6/21,7873830
1/7/21,7961673
1/8/21,8013708
1/9/21,8075998
1/10/21,8105790
1/11/21,8131612
1/12/21,8195637
1/13/21,8256536
1/14/21,8324294
1/15/21,8393492
1/16/21,8455059
1/17/21,8488099
1/18/21,8511770
1/19/21,8573864
1/20/21,8638249
1/21/21,8697368
1/22/21,8753920
1/23/21,8816254
1/24/21,8844577
1/25/21,8871393
1/26/21,8933356
1/27/21,8996876
1/28/21,9058687
1/29/21,9118513
1/30/21,9176975
1/31/21,9204731
2/1/21,9229322
2/2/21,9283418
2/3/21,9339420
2/4/21,9396293
2/5/21,9447165
2/6/21,9447165
2/7/21,9524640
2/8/21,9524640
2/9/21,9599565
2/10/21,9659167
2/11/21,9713909
2/12/21,9765455
2/13/21,9809754
2/14/21,9834513
2/15/21,9866710
2/16/21,9921981
2/17/21,9978747
2/18/21,10030626
2/19/21,10084208
2/20/21,10139148
2/21/21,10168174
2/22/21,10195160
2/23/21,10257875
2/24/21,10324463
2/25/21,10390461
2/26/21,10455630
2/27/21,10517232
2/28/21,10551259
3/1/21,10587001
3/2/21,10646926
3/3/21,10718630
3/4/21,10793732
3/5/21,10869227
3/6/21,10938836
3/7/21,11019344
3/8/21,11051665
3/9/21,11122429
3/10/21,11202305
3/11/21,11277717
3/12/21,11363380
3/13/21,11439558
3/14/21,11483370
3/15/21,11519609
3/16/21,11603535
3/17/21,11693838
3/18/21,11780820
3/19/21,11871390
3/20/21,11950459
3/21/21,11998233
3/22/21,12047526
3/23/21,12130019
3/24/21,12220011
3/25/21,12320169
3/26/21,12404414
3/27/21,12490362
3/28/21,12534688
3/29/21,12573615
3/30/21,12658109
3/31/21,12748747
4/1/21,12839844
4/2/21,12910082
4/3/21,12953597
4/4/21,12984956
4/5/21,13013601
4/6/21,13100580
4/7/21,13193205
4/8/21,13279857
4/9/21,13373174
4/10/21,13445006
4/11/21,13482023
4/12/21,13517808
4/13/21,13599994
4/14/21,13673507
4/15/21,13746681
4/16/21,13832455
4/17/21,13900091
4/18/21,13943071
4/19/21,13973695
4/20/21,14043076
4/21/21,14122795
4/22/21,14167973
4/23/21,14237078
4/24/21,14308215
4/25/21,14340787
4/26/21,14369423
4/27/21,14441563
4/28/21,14521289
4/29/21,14590678
4/30/21,14659011
5/1/21,14725975
5/2/21,14754910
5/3/21,14779529
5/4/21,14856888
5/5/21,14930183
5/6/21,15003563
5/7/21,15082449
5/8/21,15145879
5/9/21,15184790
5/10/21,15209990
5/11/21,15282705
5/12/21,15359397
5/13/21,15433989
5/14/21,15519525
5/15/21,15586534
5/16/21,15627243
5/17/21,15657391
5/18/21,15732836
5/19/21,15812055
5/20/21,15894094
5/21/21,15970949
5/22/21,16047439
5/23/21,16083258
5/24/21,16120756
5/25/21,16194209
5/26/21,16274695
5/27/21,16342162
5/28/21,16391930
5/29/21,16471600
5/30/21,16515120
5/31/21,16545554
6/1/21,16624480
6/2/21,16720081
6/3/21,16803472
6/4/21,16841408
6/5/21,16907425
6/6/21,16947062
6/7/21,16984218
6/8/21,17037129
6/9/21,17122877
6/10/21,17210969
6/11/21,17296118
6/12/21,17374818
6/13/21,17412766
6/14/21,17452612
6/15/21,17533221
6/16/21,17628588
6/17/21,17702630
6/18/21,17801462
6/19/21,17883750
6/20/21,17927928
6/21/21,17966831
6/22/21,18054653
6/23/21,18169881
6/24/21,18243483
6/25/21,18322760
6/26/21,18386894
6/27/21,18420598
6/28/21,18448402
6/29/21,18513305
6/30/21,18557141
7/1/21,18622304
7/2/21,18687469
7/3/21,18742025
7/4/21,18769808
7/5/21,18792511
7/6/21,18855015
7/7/21,18909037
7/8/21,18962762
7/9/21,19020499
7/10/21,19069003
7/11/21,19089940
7/12/21,19106971
7/13/21,19151993
7/14/21,19209729
7/15/21,19262518
7/16/21,19308109
7/17/21,19342448
7/18/21,19376574
7/19/21,19391845
7/20/21,19419437
7/21/21,19473954
7/22/21,19523711
7/23/21,19632443
7/24/21,19670534
7/25/21,19688663
7/26/21,19707662
7/27/21,19749073
7/28/21,19797086
7/29/21,19839369
7/30/21,19880273
7/31/21,19917855
8/1/21,19938358
8/2/21,19953501
8/3/21,19985817
8/4/21,20026533
8/5/21,20066587
8/6/21,20108746
8/7/21,20151779
8/8/21,20165672
8/9/21,20177757
8/10/21,20212642
8/11/21,20245085
8/12/21,20285067
8/13/21,20319000
8/14/21,20350142
8/15/21,20364099
8/16/21,20378570
8/17/21,20416183
8/18/21,20457897
8/19/21,20494212
8/20/21,20528099
8/21/21,20556487
8/22/21,20570891
8/23/21,20583994
8/24/21,20614866
8/25/21,20645537
8/26/21,20676561
8/27/21,20703906
8/28/21,20728605
8/29/21,20741815
8/30/21,20752281
8/31/21,20776870
9/1/21,20804215
9/2/21,20830495
9/3/21,20856060
9/4/21,20877864
9/5/21,20890779
9/6/21,20899933
9/7/21,20914237
9/8/21,20928008
9/9/21,20958899
9/10/21,20974850
9/11/21,20989164
9/12/21,20999779
9/13/21,21006424
9/14/21,21019830
9/15/21,21034610
9/16/21,21069017
9/17/21,21080219
9/18/21,21230325
9/19/21,21239783
9/20/21,21247667
9/21/21,21247094
9/22/21,21283567
9/23/21,21308178
9/24/21,21327616
9/25/21,21343304
9/26/21,21351972
9/27/21,21366395
9/28/21,21381790
9/29/21,21399546
9/30/21,21427073
10/1/21,21445651
10/2/21,21459117
10/3/21,21468121
10/4/21,21478546
10/5/21,21499074
10/6/21,21516967
10/7/21,21532558
10/8/21,21550730
10/9/21,21567181
10/10/21,21575820
10/11/21,21582738
10/12/21,21590097
10/13/21,21597949
10/14/21,21612237
10/15/21,21627476
10/16/21,21638726
10/17/21,21644464
10/18/21,21651910
10/19/21,21664879
10/20/21,21680488
10/21/21,21697341
10/22/21,21711843
10/23/21,21723559
10/24/21,21729763
10/25/21,21735560
10/26/21,21748984
10/27/21,21766168
10/28/21,21781436
10/29/21,21793401
10/30/21,21804094
10/31/21,21810855
11/1/21,21814693
11/2/21,21821124
11/3/21,21835785
11/4/21,21849137
11/5/21,21862458
11/6/21,21874324
11/7/21,21880439
11/8/21,21886077
11/9/21,21897025
11/10/21,21909298
11/11/21,21924598
11/12/21,21939196
11/13/21,21953838
11/14/21,21957967
11/15/21,21960766
11/16/21,21965684
11/17/21,21977661
11/18/21,21989962
11/19/21,22003317
11/20/21,22012150
11/21/21,22017276
11/22/21,22019870
11/23/21,22030182
11/24/21,22043112
11/25/21,22055238
11/26/21,22067630
11/27/21,22076863
11/28/21,22080906
11/29/21,22084749
11/30/21,22094459
12/1/21,22105872
12/2/21,22118782
12/3/21,22129409
12/4/21,22138247
12/5/21,22143091
12/6/21,22147476
12/7/21,22157726
12/8/21,22167781
12/9/21,22177059
12/10/21,22177059
12/11/21,22177059
12/12/21,22177059
12/13/21,22177059
12/14/21,22195775
12/15/21,22201221
12/16/21,22201221
12/17/21,22204941
12/18/21,22204941
12/19/21,22213762
12/20/21,22215856
